invoiceDate,amount
2024-08-31,148693.58
2024-09-02,615152.75
2024-09-03,707042.72
2024-09-04,390091.5
2024-09-05,1262243.1
2024-09-06,1361557.45
2024-09-07,417431.75
2024-09-09,2103333.36
2024-09-10,533708.51
2024-09-11,749060.05
2024-09-12,408708.7
2024-09-13,357775.74
2024-09-14,356111.92
2024-09-16,611338.25
2024-09-17,541628.47
2024-09-18,357243.42
2024-09-19,259412.22
2024-09-20,402403.92
2024-09-21,377930.57
2024-09-23,853143.71
2024-09-24,1010483.18
2024-09-25,371376.75
2024-09-26,516357.28
2024-09-27,607703.71
